Country,#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd
Denmark,10,Beautiful Things,Benson Boone,2024-04-05,105,47,47,-6,22,3:00,15,77,3,2813
Denmark,11,we can't be friends (wait for your love),Ariana Grande,2024-03-08,116,66,65,-8,29,3:49,7,95,15,36
Denmark,12,TEXAS HOLD 'EM,Beyoncé,2024-03-29,110,71,73,-7,38,3:53,58,86,16,3218
Denmark,13,Lose Control,Teddy Swims,2023-09-15,160,60,56,-4,24,3:31,20,93,17,9406
Denmark,14,Det Modsatte,Mumle,2023-09-22,118,58,76,-6,55,3:22,2,64,18,7561
Denmark,15,Sprite & Vodka (feat. Gilli & KESI),Noah Carter,2024-03-22,201,67,51,-6,66,2:16,47,61,4,6375
Denmark,16,All Again,Fabian Mazur,2024-02-16,146,82,68,-4,18,2:38,1,55,19,3653
Denmark,17,I KNOW,D1MA,2023-06-22,114,67,84,-6,32,3:09,4,64,5,7831
Denmark,18,Sent,Artigeardit,2024-01-19,138,67,78,-6,43,2:35,5,64,6,8187
Denmark,19,greedy,Tate McRae,2023-09-15,111,73,75,-3,84,2:12,26,96,20,3914
Denmark,20,Halskæde,Guldimund,2023-10-21,143,33,50,-8,27,2:37,29,60,25,9040
Denmark,21,End of Beginning,Djo,2022-09-16,160,45,69,-8,91,2:39,4,98,21,7755
Denmark,22,Skarpt Lys,Gilli,2023-12-30,150,77,76,-5,74,3:03,5,62,26,1553
Denmark,23,Prada,cassö,2023-08-11,142,72,64,-6,42,2:12,0,89,22,4573
Denmark,24,Uden Dig,Ukendt Kunstner,2023-05-12,163,74,73,-7,88,3:11,31,62,23,610
Denmark,25,Livet Er Kort,Gobs,2024-02-02,142,74,73,-5,94,2:21,21,62,2,1556
Denmark,26,Austin,Dasha,2024-02-16,115,67,76,-7,74,2:52,46,87,24,9710
Denmark,27,Stick Season,Noah Kahan,2022-10-14,118,49,66,-7,82,3:02,78,94,28,63
Denmark,28,Danser Med Dæmoner,Baloosh,2023-11-03,140,75,76,-6,43,2:41,40,62,29,8779
Denmark,29,Like That,Future,2024-03-22,162,68,81,-5,31,4:28,1,95,30,8346
Denmark,30,"Det´ kun vigtigt, hvad det er",Guldimund,2023-03-31,121,39,55,-8,33,3:20,43,57,47,6471
Denmark,31,Tak For Sidst,Gobs,2024-02-02,135,62,81,-4,69,2:36,9,58,27,8678
Denmark,32,Tilfældigt (feat. D1MA),Caroline Dubois,2023-07-06,111,57,79,-8,42,2:51,26,60,31,5049
Denmark,33,Godthåbsvej,URO,2023-09-29,130,58,70,-8,38,3:19,10,61,7,7696
Denmark,34,Intet Nyt (feat. Gilli),Merro8,2024-02-02,135,69,87,-5,61,2:55,5,61,32,9399
Denmark,35,dagdrømmer,Mille,2024-02-02,140,55,70,-6,72,2:50,21,58,33,5570
Denmark,36,Kom & Gik (feat. Hans Philip),Noah Carter,2024-03-22,170,44,68,-10,33,2:52,46,59,42,5795
Denmark,37,MOONLIGHT,D1MA,2023-03-16,119,49,71,-8,56,3:17,57,59,43,1666
Denmark,38,Ud Af Hovedet (feat. ICEKIID),Gobs,2024-02-02,142,80,76,-5,71,2:44,22,60,48,9087
Denmark,39,Bærum Bitches (Mannschaft),Søte og Rare Gutter,2024-02-15,147,60,66,-8,54,2:27,7,74,34,2057
Denmark,40,Jeg Er En Gamer,Thomas,2024-02-02,136,79,75,-6,48,2:54,33,61,35,6647
Denmark,41,Whatever,Kygo,2024-01-19,108,78,58,-6,60,2:58,11,89,36,8040
Denmark,42,vi ku' blive,Artigeardit,2023-09-01,85,61,63,-6,39,3:27,34,58,44,407
Denmark,43,Thank You (Not So Bad),Dimitri Vegas & Like Mike,2023-12-01,150,95,67,-5,56,2:20,2,87,37,2033
Denmark,44,Unwritten,Natasha Bedingfield,2004-08-30,100,80,71,-6,63,4:19,1,92,38,2068
Denmark,45,Føles Godt (feat. Mekdes),URO,2023-01-13,81,68,62,-6,34,2:51,40,60,45,7255
Denmark,46,Slow It Down,Benson Boone,2024-04-05,181,58,43,-5,54,2:42,17,76,46,4891
Denmark,47,CARNIVAL,¥$,2024-02-09,148,81,59,-6,31,4:24,19,96,39,4593
Denmark,48,Houdini,Dua Lipa,2023-11-09,117,79,74,-5,87,3:06,0,92,40,106
Denmark,49,Balaclava,ICEKIID,2024-03-01,120,56,92,-7,80,2:30,1,59,41,3818
Denmark,50,Verden Vågner (feat. Saveus),Gilli,2022-10-15,95,76,56,-5,73,2:36,37,59,49,8245
Switzerland,1,i like the way you kiss me,Artemas,2024-03-19,152,95,60,-4,75,2:23,0,96,4,8379
Switzerland,2,Beautiful Things,Benson Boone,2024-04-05,105,47,47,-6,22,3:00,15,77,1,7628
Switzerland,3,Gata Only,FloyyMenor,2024-02-02,100,50,79,-8,67,3:42,45,95,5,1497
Switzerland,4,Too Sweet,Hozier,2024-03-22,117,62,74,-6,93,4:11,3,83,6,8379
Switzerland,5,Belong Together,Mark Ambor,2024-02-16,91,67,65,-5,64,2:28,49,86,7,2757
Switzerland,6,Lose Control,Teddy Swims,2023-09-15,160,60,56,-4,24,3:31,20,93,8,1597
Switzerland,7,End of Beginning,Djo,2022-09-16,160,45,69,-8,91,2:39,4,98,9,1857
Switzerland,8,TEXAS HOLD 'EM,Beyoncé,2024-03-29,110,71,73,-7,38,3:53,58,86,10,6419
Switzerland,9,greedy,Tate McRae,2023-09-15,111,73,75,-3,84,2:12,26,96,11,7486
Switzerland,10,Stumblin' In,CYRIL,2023-11-10,126,52,88,-8,37,3:33,6,87,12,4412
Switzerland,11,Overdrive (feat. Norma Jean Martine),Ofenbach,2023-10-06,127,76,61,-4,28,2:36,0,87,13,6535
Switzerland,12,Another Love,Tom Odell,2013-06-24,123,54,45,-9,13,4:04,70,89,14,9246
Switzerland,13,Austin,Dasha,2024-02-16,115,67,76,-7,74,2:52,46,87,15,8321
Switzerland,14,Prada,cassö,2023-08-11,142,72,64,-6,42,2:12,0,89,16,810
Switzerland,15,Unwritten,Natasha Bedingfield,2004-08-30,100,80,71,-6,63,4:19,1,92,17,3538
Switzerland,16,Scared To Start,Michael Marcagi,2024-01-12,148,55,53,-11,44,2:40,38,91,18,8497
Switzerland,17,Vois sur ton chemin - Techno Mix,BENNETT,2023-08-04,138,82,63,-3,37,2:58,9,87,19,485
Switzerland,18,Si No Estás,iñigo quintero,2022-09-23,98,42,54,-9,52,3:04,83,88,20,5078
Switzerland,19,I Don't Wanna Wait,David Guetta,2024-04-05,130,71,68,-5,55,2:30,4,77,2,1097
Switzerland,20,Whatever,Kygo,2024-01-19,108,78,58,-6,60,2:58,11,89,21,8742
Switzerland,21,CARNIVAL,¥$,2024-02-09,148,81,59,-6,31,4:24,19,96,22,9293
Switzerland,22,Like That,Future,2024-03-22,162,68,81,-5,31,4:28,1,95,0,8717
Switzerland,23,we can't be friends (wait for your love),Ariana Grande,2024-03-08,116,66,65,-8,29,3:49,7,95,23,6044
Switzerland,24,Slow It Down,Benson Boone,2024-04-05,181,58,43,-5,54,2:42,17,76,46,8955
Switzerland,25,Pedro,Jaxomy,2024-03-29,151,94,79,-6,84,2:25,2,70,24,9457
Switzerland,26,FE!N (feat. Playboi Carti),Travis Scott,2023-07-28,148,88,57,-3,20,3:12,3,93,26,2482
Switzerland,27,Houdini,Dua Lipa,2023-11-09,117,79,74,-5,87,3:06,0,92,27,6433
Switzerland,28,Stick Season,Noah Kahan,2022-10-14,118,49,66,-7,82,3:02,78,94,28,7346
Switzerland,29,Mwaki,Zerb,2023-11-10,120,64,85,-9,5,3:28,20,73,29,3441
Switzerland,30,The Night We Met,Lord Huron,2015-04-07,87,37,55,-10,10,3:28,97,80,30,6104
Switzerland,31,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2012-10-09,146,93,63,-4,88,4:18,3,84,31,7818
Switzerland,32,Thank You (Not So Bad),Dimitri Vegas & Like Mike,2023-12-01,150,95,67,-5,56,2:20,2,87,32,4152
Switzerland,33,SEYA,GIMS,2022-12-02,101,68,80,-5,43,3:08,22,69,33,1903
Switzerland,34,I'm Good (Blue),David Guetta,2022-08-26,128,97,56,-4,30,2:55,0,89,47,1115
Switzerland,35,Ain't No Sunshine,Bill Withers,1971-05-01,78,42,53,-11,52,2:05,46,87,34,7912
Switzerland,36,Water,Tyla,2023-07-28,117,72,67,-3,52,3:20,9,92,3,3869
Switzerland,37,Type Shit,Future,2024-03-22,145,55,64,-6,11,3:48,2,90,25,3429
Switzerland,38,Daylight,David Kushner,2023-04-14,130,43,51,-9,32,3:33,83,90,35,2105
Switzerland,39,Jump,Tyla,2024-03-22,100,71,71,-3,65,2:27,3,77,48,4062
Switzerland,40,Evergreen,Richy Mitch & The Coal Miners,2017-05-17,79,22,56,-12,50,1:27,56,89,36,6520
Switzerland,41,Someone You Loved,Lewis Capaldi,2019-05-17,110,41,50,-6,45,3:02,75,89,37,1815
Switzerland,42,Before You Leave Me,Alex Warren,2024-02-16,120,84,70,-5,64,2:56,15,84,38,7689
Switzerland,43,Küssen,1099,2024-03-22,170,77,79,-8,80,2:20,16,76,39,2477
Switzerland,44,Cruel Summer,Taylor Swift,2019-08-23,170,70,55,-6,56,2:58,12,96,40,8713
Switzerland,45,Another Vibe (feat. Omah Lay),Luciano,2024-02-22,64,56,56,-9,24,2:43,25,77,41,6415
Switzerland,46,Flowers,Miley Cyrus,2023-08-18,118,69,71,-5,63,3:21,6,91,42,1573
